pair,partnership_runs
G Gambhir & YK Pathan,341
DA Miller & GJ Bailey,340
M Vijay & M Vohra,335
AD Russell & RK Singh,335
SA Yadav & YK Pathan,334
BB McCullum & SC Ganguly,333
HH Pandya & Ishan Kishan,332
A Raghuvanshi & SP Narine,329
KC Sangakkara & S Dhawan,329
AD Russell & Shubman Gill,327
RA Jadeja & S Dube,325
AK Markram & Abhishek Sharma,323
JH Kallis & V Kohli,322
KP Pietersen & V Sehwag,322
LS Livingstone & S Dhawan,319
CL White & KC Sangakkara,319
SR Watson & SV Samson,317
JC Buttler & N Rana,317
DJ Mitchell & RD Gaikwad,316
B Sai Sudharsan & DA Miller,316
AT Rayudu & KD Karthik,313
BB McCullum & DPMD Jayawardene,312
F du Plessis & RM Patidar,311
Shubman Gill & V Shankar,311
AM Rahane & RD Gaikwad,309
CA Lynn & G Gambhir,309
JC Buttler & SO Hetmyer,308
DA Warner & KS Williamson,308
RA Tripathi & Shubman Gill,305
PC Valthaty & SE Marsh,304
P Simran Singh & S Dhawan,302
RR Pant & SV Samson,301
RR Pant & T Stubbs,300
AK Markram & N Pooran,299
Mandeep Singh & SE Marsh,299
RA Jadeja & SK Raina,293
MK Tiwary & YK Pathan,292
Ishan Kishan & KA Pollard,292
JM Sharma & LS Livingstone,291
DJ Hussey & SE Marsh,290
AM Rahane & DP Conway,290
AB de Villiers & Yuvraj Singh,289
DA Miller & Shubman Gill,288
NV Ojha & S Dhawan,285
GJ Maxwell & HM Amla,285
AT Rayudu & LMP Simmons,284
AB de Villiers & SS Tiwary,284
PA Patel & SK Raina,282
JA Morkel & SK Raina,282
Abishek Porel & J Fraser-McGurk,281
KH Pandya & SA Yadav,277
DR Smith & F du Plessis,277
GC Smith & SR Watson,276
DP Conway & S Dube,276
DA Miller & SE Marsh,275
CH Gayle & Mandeep Singh,273
MC Henriques & S Dhawan,271
Harbhajan Singh & KA Pollard,270
CA Lynn & N Rana,269
AM Rahane & BJ Hodge,268
KD Karthik & SE Marsh,268
JM Bairstow & KS Williamson,268
JP Duminy & KM Jadhav,266
