pair,partnership_runs
AD Russell & SP Narine,93
AM Nayar & RV Uthappa,93
AM Rahane & DJ Mitchell,93
RR Pant & SE Rutherford,93
CH Gayle & KK Nair,93
JP Duminy & PA Patel,92
KD Karthik & MK Tiwary,92
R Sathish & SR Tendulkar,92
S Dhawan & SO Hetmyer,92
Ishan Kishan & SK Raina,92
H Klaasen & MA Agarwal,92
AB de Villiers & KL Rahul,92
MD Mishra & RG Sharma,92
JEC Franklin & KA Pollard,92
JC Buttler & KA Pollard,92
MK Pandey & PK Garg,91
MK Pandey & Mohammad Nabi,91
MN Samuels & SPD Smith,91
Ishan Kishan & KD Karthik,91
AM Nayar & Harbhajan Singh,91
FY Fazal & YK Pathan,91
DA Miller & M Shahrukh Khan,91
RR Pant & SN Khan,91
RG Sharma & SS Tiwary,91
Abdul Samad & Shahbaz Ahmed,90
JA Morkel & PA Patel,90
SC Ganguly & Yashpal Singh,90
AS Joseph & KA Pollard,90
AJ Finch & MK Pandey,90
HH Gibbs & VVS Laxman,90
MK Tiwary & SS Iyer,90
AM Rahane & J Botha,90
JEC Franklin & RG Sharma,89
JR Hopes & K Goel,89
C de Grandhomme & MK Pandey,89
MM Ali & MS Dhoni,89
SM Katich & Yuvraj Singh,89
AM Rahane & LS Livingstone,89
KS Williamson & WP Saha,89
KS Williamson & RA Tripathi,89
PA Patel & S Vidyut,89
SC Ganguly & WP Saha,89
DJ Bravo & SR Watson,89
KM Jadhav & SS Tiwary,88
DJ Bravo & JP Duminy,88
MP Stoinis & V Kohli,88
GJ Bailey & GJ Maxwell,88
BJ Hodge & DPMD Jayawardene,88
DA Warner & KD Karthik,88
AJ Finch & Y Venugopal Rao,88
RV Uthappa & SA Yadav,88
DJ Bravo & M Vijay,87
F du Plessis & MEK Hussey,87
BB McCullum & Q de Kock,87
AD Mathews & Yuvraj Singh,87
MA Agarwal & TM Head,87
CH Morris & K Rabada,87
DJM Short & JC Buttler,87
RA Jadeja & SR Watson,86
R Parag & R Tewatia,86
AB de Villiers & MA Agarwal,86
Harpreet Singh & SM Curran,86
AB de Villiers & KA Jamieson,86
RR Rossouw & Shashank Singh,86
KD Karthik & RM Patidar,86
GJ Bailey & PA Patel,86
LA Carseldine & RA Jadeja,85
EJG Morgan & S Dhawan,85
AP Tare & SR Tendulkar,85
MA Agarwal & TM Dilshan,85
STR Binny & SV Samson,85
DPMD Jayawardene & SM Katich,85
AB Agarkar & LR Shukla,85
DJ Hussey & PP Chawla,85
AK Markram & KL Rahul,85
EJG Morgan & MC Henriques,85
RA Jadeja & RJ Quiney,85
DJ Hooda & JP Faulkner,85
DPMD Jayawardene & Y Venugopal Rao,85
S Vidyut & SP Fleming,85
AB de Villiers & MK Tiwary,84
AB de Villiers & Iqbal Abdulla,84
BB McCullum & PA Patel,84
HH Pandya & MS Wade,84
DB Das & MK Tiwary,84
DA Warner & SN Khan,84
KM Jadhav & SK Raina,84
HH Gibbs & MD Mishra,84
DJ Hussey & LR Shukla,84
Abdul Samad & KS Williamson,84
AS Joseph & Rashid Khan,84
AP Tare & DR Smith,84
JJ Roy & SS Iyer,83
AB de Villiers & AJ Finch,83
JP Duminy & KP Pietersen,83
JM Bairstow & Shashank Singh,83
S Dhawan & SP Goswami,83
DJ Hussey & N Saini,83
SS Prabhudessai & Shahbaz Ahmed,83
PA Reddy & S Dhawan,83
KK Nair & SPD Smith,83
AP Tare & KA Pollard,83
AC Gilchrist & SB Styris,83
CJ Anderson & SS Iyer,82
KL Rahul & S Dhawan,82
AK Markram & Abdul Samad,82
DR Smith & TL Suman,82
AR Patel & R Dhawan,82
AM Rahane & LRPL Taylor,82
MK Tiwary & R Bhatia,82
JJ Roy & N Jagadeesan,82
V Kohli & YV Takawale,82
AR Patel & R Powell,81
Ishan Kishan & RA Jadeja,81
SPD Smith & SS Tiwary,81
AK Markram & DJ Hooda,81
ST Jayasuriya & YV Takawale,81
BCJ Cutting & Yuvraj Singh,81
AM Rahane & RA Jadeja,81
DJ Hooda & YK Pathan,81
UBT Chand & V Sehwag,81
MK Pandey & SPD Smith,81
Abishek Porel & RR Pant,80
KA Pollard & Q de Kock,80
AM Rahane & MK Tiwary,80
LA Pomersbach & V Kohli,80
DJ Hussey & M Vohra,80
MK Pandey & VR Iyer,80
CA Ingram & SS Iyer,80
KL Rahul & M Shahrukh Khan,80
GC Smith & M Kaif,80
DPMD Jayawardene & RS Bopara,80
DB Das & Salman Butt,80
MJ Guptill & RG Sharma,79
AP Tare & AT Rayudu,79
KD Karthik & MF Maharoof,79
Nithish Kumar Reddy & Shahbaz Ahmed,79
MW Short & S Dhawan,79
Harpreet Brar & M Shahrukh Khan,79
A Ashish Reddy & KV Sharma,79
MC Henriques & NV Ojha,79
PN Mankad & Q de Kock,78
AB Agarkar & SC Ganguly,78
DA Warner & KM Jadhav,78
DA Warner & EJG Morgan,78
IK Pathan & Y Venugopal Rao,78
Azmatullah Omarzai & B Sai Sudharsan,78
HH Gibbs & TL Suman,78
GJ Maxwell & SS Iyer,78
S Anirudha & SK Raina,78
CA Lynn & JH Kallis,78
GC Smith & RJ Quiney,78
DT Christian & S Dhawan,78
C Munro & PP Shaw,78
KH Pandya & N Rana,78
DA Miller & N Pooran,77
CH Gayle & OA Shah,77
AA Jhunjhunwala & AC Voges,77
Atharva Taide & Sikandar Raza,77
JJ Roy & RK Singh,77
MK Tiwary & RN ten Doeschate,77
BB McCullum & VVS Laxman,77
AJ Tye & R Ashwin,77
HH Pandya & N Rana,77
M Shahrukh Khan & S Dhawan,77
MP Stoinis & PA Patel,77
RV Uthappa & SM Pollock,77
AP Tare & KD Karthik,76
PK Garg & RA Tripathi,76
BJ Hodge & CH Gayle,76
JM Bairstow & PBB Rajapaksa,76
JP Duminy & S Dhawan,76
AR Patel & HM Amla,76
AJ Finch & NV Ojha,76
RR Pant & SD Hope,75
AR Patel & SN Thakur,75
J Fraser-McGurk & RR Pant,75
DR Smith & HH Gibbs,75
AL Menaria & AM Rahane,75
MK Pandey & RE van der Merwe,75
LRPL Taylor & MV Boucher,75
DPMD Jayawardene & MS Bisla,75
DA Miller & Gurkeerat Singh,75
SB Styris & Y Venugopal Rao,75
Abishek Porel & T Stubbs,75
Ashutosh Sharma & Harpreet Brar,75
MP Stoinis & SS Iyer,75
MS Dhoni & R Bhatia,75
DA Warner & RR Rossouw,75
DJ Bravo & F du Plessis,75
AB de Villiers & Gurkeerat Singh,74
NV Ojha & V Sehwag,74
AB Agarkar & WP Saha,74
AJ Finch & V Sehwag,74
V Sehwag & Y Nagar,74
Abhishek Sharma & Anmolpreet Singh,74
KK Nair & Yuvraj Singh,74
Azhar Mahmood & DJ Hussey,74
KM Jadhav & KS Williamson,74
KL Rahul & RS Bopara,74
JR Hopes & KC Sangakkara,74
MS Dhoni & SM Curran,73
J Botha & SR Watson,73
MF Maharoof & TM Dilshan,73
BJ Hodge & CA Pujara,73
T Kohler-Cadmore & YBK Jaiswal,73
AM Rahane & SS Iyer,73
AD Mathews & SC Ganguly,73
FY Fazal & SR Watson,73
Abhishek Sharma & JJ Roy,73
BB McCullum & WP Saha,73
Misbah-ul-Haq & R Dravid,72
DA Miller & KK Nair,72
BJ Rohrer & KM Jadhav,72
R Shepherd & TH David,72
MK Tiwary & MS Bisla,72
AB de Villiers & DL Vettori,72
AC Gilchrist & DB Ravi Teja,72
DPMD Jayawardene & LA Pomersbach,72
GJ Maxwell & M Vohra,72
GH Vihari & PA Reddy,72
KC Sangakkara & SM Katich,72
Kamran Akmal & YK Pathan,72
DJ Bravo & ST Jayasuriya,71
AT Rayudu & RV Uthappa,71
AR Patel & KK Nair,71
K Goel & KC Sangakkara,71
DA Miller & MA Agarwal,71
AK Markram & HC Brook,71
AA Jhunjhunwala & NV Ojha,71
KP Pietersen & M Vijay,71
EJG Morgan & SE Marsh,71
SPD Smith & SR Watson,71
AM Nayar & SE Marsh,71
DA Miller & SN Khan,71
A Chopra & SC Ganguly,71
Shashank Singh & Sikandar Raza,71
BCJ Cutting & HH Pandya,70
CJ Jordan & MA Agarwal,70
V Kohli & W Jaffer,70
JP Duminy & KK Nair,70
Gurkeerat Singh & M Vijay,70
C Green & KD Karthik,70
KC Sangakkara & MS Bisla,70
AD Nath & V Kohli,70
HM Amla & MJ Guptill,70
AA Jhunjhunwala & P Dogra,70
KC Sangakkara & WA Mota,70
K Goel & Yuvraj Singh,69
EJG Morgan & RS Bopara,69
AD Mathews & LJ Wright,69
Harbhajan Singh & R McLaren,69
RK Singh & SP Narine,69
JJ Roy & RR Pant,69
MD Mishra & RV Uthappa,69
N Pooran & Q de Kock,69
B Chipli & DT Christian,69
R Dravid & RV Uthappa,69
SS Iyer & Yuvraj Singh,69
MP Stoinis & PN Mankad,69
Mandeep Singh & TM Head,69
AC Gilchrist & MD Mishra,68
JM Bairstow & LS Livingstone,68
JJ Roy & WP Saha,68
M Manhas & TM Dilshan,68
DJ Hooda & MK Pandey,68
BB Samantray & DJG Sammy,68
Ishan Kishan & KH Pandya,68
F du Plessis & SM Curran,68
A Badoni & Arshad Khan,68
CA Lynn & SA Yadav,68
AA Bilakhia & AC Gilchrist,67
GJ Bailey & WP Saha,67
DPMD Jayawardene & KP Pietersen,67
AD Mathews & SS Iyer,67
MS Dhoni & WP Saha,67
AC Voges & YK Pathan,67
MA Agarwal & RA Tripathi,67
CH Gayle & KB Arun Karthik,67
CA Lynn & MK Pandey,66
BA Stokes & JC Archer,66
JP Faulkner & RA Jadeja,66
R Rampaul & R Vinay Kumar,66
MS Dhoni & RD Gaikwad,66
AR Patel & Aman Hakim Khan,66
AK Markram & MA Agarwal,66
SO Hetmyer & YBK Jaiswal,66
JD Unadkat & R Tewatia,66
AS Raut & SK Warne,66
KD Karthik & PJ Cummins,66
IK Pathan & KM Jadhav,66
SM Curran & Shashank Singh,66
SA Asnodkar & SR Watson,66
JC Buttler & K Gowtham,65
AT Rayudu & R McLaren,65
R Tewatia & RV Uthappa,65
AT Rayudu & M Vijay,65
M Shahrukh Khan & R Tewatia,65
MA Agarwal & SN Khan,65
RK Singh & UT Yadav,65
LJ Wright & Yuvraj Singh,65
CA Pujara & DA Miller,65
MC Henriques & RS Bopara,65
D Wiese & SN Khan,65
A Ashish Reddy & EJG Morgan,65
MR Marsh & SPD Smith,65
JH Kallis & W Jaffer,65
KS Williamson & MC Henriques,65
AG Paunikar & R Dravid,65
AB de Villiers & DA Warner,64
BJ Hodge & R Dravid,64
AM Rahane & NLTC Perera,64
D Padikkal & R Ashwin,64
KD Karthik & RV Uthappa,64
JP Duminy & RR Pant,64
F du Plessis & RV Uthappa,64
C Green & Tilak Varma,64
JJ Roy & Rahmanullah Gurbaz,64
Q de Kock & Yuvraj Singh,64
S Dhawan & SM Curran,64
PA Patel & RA Jadeja,64
MK Lomror & R Parag,64
RV Uthappa & V Kohli,64
RE Levi & SR Tendulkar,64
DJ Hooda & Shakib Al Hasan,64
PA Patel & YV Takawale,63
NK Patel & RA Jadeja,63
P Kumar & Z Khan,63
HV Patel & V Shankar,63
Ishan Kishan & Naman Dhir,63
KM Jadhav & STR Binny,63
DJ Hooda & SPD Smith,63
AA Jhunjhunwala & YK Pathan,63
Gurkeerat Singh & HM Amla,63
RE van der Merwe & V Kohli,63
KM Jadhav & P Negi,63
AK Markram & TM Head,63
Harbhajan Singh & SL Malinga,62
BB McCullum & Shakib Al Hasan,62
DB Das & YK Pathan,62
MA Agarwal & Q de Kock,62
AT Rayudu & DP Conway,62
AC Gilchrist & KD Karthik,62
M Vohra & MJ Guptill,62
Lalit Yadav & SN Thakur,62
KP Pietersen & MK Pandey,62
KL Rahul & SR Watson,62
AR Patel & RV Patel,62
N Jagadeesan & N Rana,62
AR Patel & SD Hope,62
AR Patel & SS Iyer,62
KD Karthik & Mandeep Singh,62
R Dravid & S Sriram,62
Anmolpreet Singh & RA Tripathi,62
AT Rayudu & N Jagadeesan,61
AD Russell & PJ Cummins,61
KD Karthik & PC Valthaty,61
B Kumar & H Klaasen,61
Abhishek Sharma & Nithish Kumar Reddy,61
KA Pollard & KD Karthik,61
AM Rahane & SR Tendulkar,61
CH Morris & RR Pant,61
HH Pandya & JP Duminy,61
S Anirudha & S Badrinath,61
CJ Jordan & DJ Hooda,61
BB McCullum & KD Karthik,61
R Ashwin & RA Jadeja,61
DPMD Jayawardene & PP Chawla,61
A Mishra & DW Steyn,61
PJ Cummins & SS Iyer,61
OA Shah & SP Goswami,61
AB de Villiers & M Kaif,61
R Tewatia & SPD Smith,61
DR Smith & RA Jadeja,61
DB Das & LR Shukla,61
R Parag & S Dube,60
C Munro & G Gambhir,60
Abdul Samad & Abhishek Sharma,60
PJ Cummins & VR Iyer,60
KD Karthik & RA Tripathi,60
HV Patel & KA Jamieson,60
A Mishra & MF Maharoof,60
Harpreet Brar & KL Rahul,60
JP Duminy & M Vijay,60
AL Menaria & LRPL Taylor,60
AC Voges & AS Raut,60
AA Bilakhia & HH Gibbs,60
KS Williamson & N Pooran,60
AM Rahane & ST Jayasuriya,60
MV Boucher & RV Uthappa,60
IK Pathan & NV Ojha,60
AD Mathews & DJ Hussey,59
AB de Villiers & RM Patidar,59
AB de Villiers & CJ Anderson,59
PP Chawla & SE Marsh,59
CH Gayle & KD Karthik,59
G Gambhir & JJ Roy,59
KV Sharma & MC Henriques,59
A Symonds & DB Ravi Teja,59
Gurkeerat Singh & Washington Sundar,59
R Shepherd & Washington Sundar,59
Mohammed Siraj & TG Southee,59
MK Pandey & RR Rossouw,59
AK Markram & Nithish Kumar Reddy,59
PJ Cummins & Shahbaz Ahmed,58
Ishan Kishan & TH David,58
N Rana & RG Sharma,58
KA Pollard & NM Coulter-Nile,58
AR Patel & MM Sharma,58
CR Brathwaite & YK Pathan,58
MD Mishra & TL Suman,58
SN Thakur & VR Iyer,58
KD Karthik & RK Singh,58
CJ Ferguson & Yuvraj Singh,58
AC Voges & FY Fazal,58
Arshdeep Singh & RD Chahar,58
Abdul Samad & Rashid Khan,58
JDP Oram & S Badrinath,58
N Pooran & PN Mankad,58
AD Russell & UT Yadav,57
LS Livingstone & SV Samson,57
SN Khan & TM Head,57
KD Karthik & Y Nagar,57
DT Christian & KC Sangakkara,57
R Vinay Kumar & RA Jadeja,57
Aman Hakim Khan & RV Patel,57
JP Duminy & MA Agarwal,57
CL White & KP Pietersen,57
DW Steyn & KV Sharma,57
Naman Dhir & RG Sharma,57
OA Shah & R Dravid,57
E Lewis & Q de Kock,57
MS Dhoni & S Vidyut,57
HH Pandya & Rashid Khan,57
DA Miller & MK Tiwary,56
R McLaren & SR Tendulkar,56
Mandeep Singh & N Pooran,56
JC Buttler & R Powell,56
DJ Hussey & KD Karthik,56
M Rawat & YK Pathan,56
AD Mathews & KM Jadhav,56
MJ Guptill & MK Pandey,56
Harbhajan Singh & MJ McClenaghan,56
BJ Hodge & WP Saha,56
G Coetzee & TH David,56
RD Gaikwad & Sameer Rizvi,56
SE Rutherford & Shahbaz Ahmed,56
AM Rahane & MA Agarwal,56
AA Jhunjhunwala & SR Watson,55
LR Shukla & YK Pathan,55
C Green & MK Lomror,55
DR Smith & Y Venugopal Rao,55
BB McCullum & MN van Wyk,55
JC Buttler & TK Curran,55
BB McCullum & JJ Roy,55
RV Uthappa & SR Tendulkar,55
DL Vettori & PD Collingwood,55
CL White & MV Boucher,55
MR Marsh & Yuvraj Singh,55
N Pooran & Shashank Singh,55
NV Ojha & Y Nagar,55
NM Coulter-Nile & SA Yadav,55
Azhar Mahmood & SD Chitnis,55
GC Smith & JD Ryder,54
R Tewatia & S Gopal,54
AJ Finch & V Kohli,54
A Ashish Reddy & NLTC Perera,54
DA Warner & YV Dhull,54
JD Ryder & MJ Clarke,54
D Padikkal & SO Hetmyer,54
DJM Short & RA Tripathi,54
A Badoni & K Gowtham,54
JC Buttler & M Vohra,54
HV Patel & RR Pant,54
IR Jaggi & SA Yadav,54
DL Chahar & SK Raina,54
AD Russell & PP Chawla,54
KA Pollard & Yuvraj Singh,54
JP Faulkner & SV Samson,54
D Wiese & Iqbal Abdulla,54
AM Nayar & MR Marsh,54
LA Pomersbach & Mandeep Singh,54
AT Carey & S Dhawan,54
DJ Hooda & N Pooran,54
SK Raina & SP Fleming,54
HH Pandya & Harbhajan Singh,54
MS Bisla & Yuvraj Singh,53
N Wadhera & TH David,53
AT Rayudu & KM Jadhav,53
DJG Sammy & KL Rahul,53
PJ Cummins & Shivam Mavi,53
JP Faulkner & P Kumar,53
PD Salt & Ramandeep Singh,53
AP Tare & MEK Hussey,53
PP Shaw & RR Rossouw,53
KD Karthik & KM Jadhav,53
IR Jaggi & S Dhawan,53
Mandeep Singh & Washington Sundar,53
AP Tare & CJ Anderson,53
KV Sharma & RG Sharma,53
Mohit Rathee & S Dhawan,53
Tanush Kotian & YBK Jaiswal,53
PR Shah & RV Uthappa,53
AR Patel & MG Johnson,53
KD Karthik & MA Agarwal,53
Abdul Samad & B Kumar,53
HV Patel & KD Karthik,53
K Goel & SM Katich,53
EJG Morgan & Shakib Al Hasan,53
P Simran Singh & RR Rossouw,52
P Simran Singh & Shashank Singh,52
SB Dubey & SV Samson,52
AB de Villiers & R Vinay Kumar,52
Ashutosh Sharma & SM Curran,52
AR Patel & Abishek Porel,52
DT Christian & MK Tiwary,52
KD Karthik & SS Prabhudessai,52
KD Karthik & LR Shukla,52
AM Nayar & SM Pollock,52
AT Rayudu & RJ Peterson,52
A Kumble & R Dravid,52
SR Watson & Sachin Baby,52
KA Pollard & R Sathish,52
R Parag & S Gopal,52
KD Karthik & SN Khan,52
JP Duminy & PR Shah,51
NLTC Perera & R Bhatia,51
MS Dhoni & SN Thakur,51
D Padikkal & MP Stoinis,51
MM Ali & MP Stoinis,51
LS Livingstone & MA Agarwal,51
M Klinger & PA Patel,51
MR Marsh & SN Khan,51
MP Stoinis & SO Hetmyer,51
DJ Malan & MA Agarwal,51
KL Rahul & MC Henriques,51
A Flintoff & SK Raina,51
Ishan Kishan & N Wadhera,51
GJ Maxwell & M Vijay,51
Ankit Sharma & SR Watson,51
MM Sharma & MS Dhoni,51
AR Patel & K Rabada,51
LS Livingstone & YBK Jaiswal,50
M Shahrukh Khan & OF Smith,50
BB McCullum & Mohammad Hafeez,50
AL Menaria & STR Binny,50
KV Sharma & NLTC Perera,50
CH Morris & JP Faulkner,50
BA Stokes & DT Christian,50
A Mishra & DJG Sammy,50
CM Gautam & KA Pollard,50
G Gambhir & SS Iyer,50
N Wadhera & T Stubbs,50
GJ Maxwell & Shahbaz Ahmed,50
C de Grandhomme & P Ray Barman,50
DL Vettori & SS Tiwary,50
DPMD Jayawardene & M Klinger,50
DA Warner & IK Pathan,50
KD Karthik & PWH de Silva,50
CM Gautam & IK Pathan,50
J Botha & RA Jadeja,50
NLTC Perera & PA Patel,50
MV Boucher & P Kumar,50
SM Pollock & SS Tiwary,50
NV Ojha & RS Bopara,50
BJ Rohrer & UBT Chand,50
R Tewatia & SS Iyer,50
A Symonds & MR Marsh,50
Mandeep Singh & P Negi,50
AM Rahane & DH Yagnik,50
DJ Hooda & S Dhawan,49
MS Dhoni & S Anirudha,49
MW Short & P Simran Singh,49
IK Pathan & M Morkel,49
N Pooran & Washington Sundar,49
Lalit Yadav & SO Hetmyer,49
A Chopra & Salman Butt,49
JA Morkel & JDP Oram,49
AD Mascarenhas & RA Jadeja,49
DS Lehmann & SR Watson,49
MF Maharoof & S Dhawan,49
MC Henriques & MN van Wyk,49
A Mishra & S Dhawan,49
Mandeep Singh & SN Khan,49
B Akhil & R Dravid,49
AP Dole & AS Raut,49
JO Holder & WP Saha,49
R Bhatia & YK Pathan,49
AT Rayudu & JP Duminy,49
AT Rayudu & CM Gautam,49
DB Das & R Bhatia,49
Abdul Samad & Nithish Kumar Reddy,49
GJ Bailey & R Ashwin,49
JDS Neesham & R Parag,49
HH Gibbs & Shahid Afridi,49
Rashid Khan & YK Pathan,49
AR Patel & CH Morris,49
C de Grandhomme & UT Yadav,48
JC Archer & S Gopal,48
D Padikkal & KS Bharat,48
KP Pietersen & Y Nagar,48
IK Pathan & K Goel,48
IK Pathan & KP Pietersen,48
AB de Villiers & KS Bharat,48
AR Patel & NS Naik,48
GC Smith & RA Jadeja,48
DE Bollinger & S Badrinath,48
AP Tare & RG Sharma,48
BB Samantray & GH Vihari,48
JA Morkel & R Ashwin,48
CA Lynn & RK Singh,48
GH Vihari & NLTC Perera,48
DPMD Jayawardene & RA Jadeja,48
F du Plessis & R Ashwin,48
A Manohar & R Tewatia,48
SPD Smith & YBK Jaiswal,48
BJ Hodge & DJ Hussey,48
PA Patel & PA Reddy,48
HV Patel & SO Hetmyer,48
Rashid Khan & V Shankar,48
Mandeep Singh & SM Curran,48
SP Narine & SS Iyer,48
BB McCullum & RT Ponting,48
N Jagadeesan & RD Gaikwad,48
NK Patel & SR Watson,48
BJ Rohrer & DA Warner,48
AM Nayar & LRPL Taylor,48
Bipul Sharma & IK Pathan,48
KL Rahul & Sachin Baby,47
AA Bilakhia & RG Sharma,47
CL White & JH Kallis,47
KK Nair & R Ashwin,47
AR Patel & Gurkeerat Singh,47
MA Starc & S Rana,47
BJ Hodge & SV Samson,47
Nithish Kumar Reddy & RA Tripathi,47
CM Gautam & RG Sharma,47
GJ Bailey & ML Hayden,47
Gurkeerat Singh & MP Stoinis,47
HH Pandya & R Tewatia,47
N Jagadeesan & Rahmanullah Gurbaz,47
RA Tripathi & SP Narine,47
JA Morkel & KM Jadhav,47
AB de Villiers & C de Grandhomme,47
Anirudh Singh & RG Sharma,47
AT Rayudu & JC Buttler,47
C de Grandhomme & G Gambhir,47
GJ Maxwell & SS Prabhudessai,47
Shahbaz Ahmed & V Kohli,47
AT Rayudu & N Rana,47
JA Morkel & MS Gony,47
AM Rahane & KP Pietersen,47
LPC Silva & Y Venugopal Rao,47
AL Menaria & J Botha,47
AJ Finch & DJ Bravo,47
GJ Maxwell & V Shankar,46
KK Nair & MA Agarwal,46
S Dube & Washington Sundar,46
JC Archer & TK Curran,46
DP Conway & RA Jadeja,46
D Padikkal & Dhruv Jurel,46
Lalit Yadav & MR Marsh,46
DJ Thornely & RV Uthappa,46
B Kumar & CR Brathwaite,46
Harpreet Brar & JM Sharma,46
JD Unadkat & S Gopal,46
K Gowtham & RA Tripathi,46
CH Morris & JD Unadkat,46
Bipul Sharma & DA Warner,46
NV Ojha & Yuvraj Singh,46
OA Shah & SC Ganguly,46
LJ Wright & SPD Smith,46
Shoaib Malik & V Sehwag,46
AM Rahane & BA Stokes,46
GD Phillips & S Dube,46
AD Russell & G Gambhir,46
KMA Paul & RR Pant,46
AC Gilchrist & SD Chitnis,45
M Kaif & SA Asnodkar,45
SN Khan & V Kohli,45
Q de Kock & SS Tiwary,45
GJ Maxwell & MK Lomror,45
AB McDonald & KD Karthik,45
CH Morris & R Tewatia,45
AD Russell & DPMD Jayawardene,45
RD Gaikwad & SR Watson,45
AB Barath & KC Sangakkara,45
Gulbadin Naib & T Stubbs,45
JD Ryder & TD Paine,45
AD Nath & AJ Finch,45
K Gowtham & MA Agarwal,45
Mohammad Nabi & YK Pathan,45
KP Pietersen & Q de Kock,45
R Vinay Kumar & SS Tiwary,45
N Wadhera & PP Chawla,45
Ankit Sharma & MK Tiwary,45
Rahmanullah Gurbaz & SP Narine,45
A Nehra & PD Collingwood,45
PP Chawla & R McLaren,45
P Kumar & R Dravid,45
LA Pomersbach & R Sathish,45
DA Warner & GH Vihari,45
BJ Hodge & SR Watson,45
KH Pandya & MG Johnson,45
M Vohra & Q de Kock,45
JA Morkel & S Anirudha,45
SC Ganguly & Umar Gul,45
KV Sharma & P Kumar,44
CH Gayle & LA Pomersbach,44
A Flintoff & ML Hayden,44
JA Morkel & Joginder Sharma,44
A Ashish Reddy & DJG Sammy,44
BCJ Cutting & NV Ojha,44
RV Uthappa & TL Suman,44
AD Mathews & BB McCullum,44
AB McDonald & KM Jadhav,44
JP Duminy & ST Jayasuriya,44
AJ Finch & LRPL Taylor,44
DA Miller & SV Samson,44
M Vohra & MM Sharma,44
MJ Lumb & YK Pathan,44
MG Bracewell & V Kohli,44
RA Tripathi & TM Head,44
MA Agarwal & Z Khan,44
M Manhas & SC Ganguly,44
Ramandeep Singh & SS Iyer,44
DJ Bravo & MEK Hussey,44
DJ Bravo & Harbhajan Singh,43
D Pretorius & MS Dhoni,43
MS Wade & WP Saha,43
JO Holder & Rashid Khan,43
A Ashish Reddy & S Dhawan,43
IR Jaggi & JP Duminy,43
AB Agarkar & M Kartik,43
JP Faulkner & STR Binny,43
CK Kapugedera & MS Dhoni,43
AM Rahane & KK Cooper,43
KK Nair & R Bhatia,43
AF Milne & SS Tiwary,43
JC Archer & R Parag,43
M Manhas & Yuvraj Singh,43
Arshad Khan & Tilak Varma,43
AB de Villiers & TM Head,43
Bipul Sharma & NV Ojha,43
JL Pattinson & KA Pollard,43
CH Gayle & N Pooran,43
A Symonds & DR Smith,43
M Kaif & Yuvraj Singh,43
KM Jadhav & SN Khan,43
MK Tiwary & S Dhawan,43
BJ Hodge & OA Shah,43
DPMD Jayawardene & MC Juneja,43
B Kumar & Shahbaz Ahmed,43
MD Shanaka & Shubman Gill,43
DJ Hussey & T Taibu,43
Mohammad Nabi & Tilak Varma,42
A Symonds & VVS Laxman,42
CR Brathwaite & SW Billings,42
R Powell & SO Hetmyer,42
AR Patel & SE Rutherford,42
CJ Ferguson & SC Ganguly,42
CR Woakes & Mandeep Singh,42
B Lee & MK Tiwary,42
DJ Hussey & SD Chitnis,42
SR Tendulkar & TL Suman,42
AA Jhunjhunwala & PA Reddy,42
LRPL Taylor & SR Watson,42
Kamran Akmal & SA Asnodkar,42
JR Hopes & Y Nagar,42
P Negi & RA Jadeja,42
A Mukund & CH Gayle,42
AB de Villiers & JR Philippe,42
AB de Villiers & J Syed Mohammad,42
LR Shukla & M Kartik,42
R Powell & SN Thakur,42
I Sharma & M Kartik,42
KV Sharma & PA Patel,42
Anirudh Singh & Y Venugopal Rao,42
SS Tiwary & Z Khan,42
AB de Villiers & Washington Sundar,42
G Gambhir & RR Pant,42
JC Buttler & R Tewatia,42
JP Duminy & SW Billings,41
WPUJC Vaas & Y Venugopal Rao,41
AB de Villiers & SN Khan,41
LR Shukla & MK Tiwary,41
DJ Hooda & EJG Morgan,41
CJ Anderson & SV Samson,41
LRPL Taylor & NV Ojha,41
BJ Hodge & LR Shukla,41
AB de Villiers & RR Rossouw,41
M Shahrukh Khan & MA Agarwal,41
GJ Bailey & SS Tiwary,41
H Klaasen & Washington Sundar,41
B Sai Sudharsan & R Tewatia,41
L Ronchi & ST Jayasuriya,41
GJ Maxwell & IK Pathan,41
AB de Villiers & JA Morkel,41
A Mishra & B Chipli,41
AS Yadav & RG Sharma,41
AM Rahane & PR Shah,41
RG Sharma & Shahid Afridi,41
JC Archer & K Gowtham,41
MK Pandey & SP Narine,41
MM Ali & PA Patel,41
AD Mascarenhas & P Dogra,41
AM Rahane & GJ Bailey,41
RN ten Doeschate & Shakib Al Hasan,41
Abdul Samad & M Jansen,41
DJ Bravo & Imran Tahir,41
KC Sangakkara & PA Reddy,41
SA Yadav & Yuvraj Singh,41
PP Chawla & WA Mota,41
KA Pollard & R Dhawan,41
KS Williamson & Mohammad Nabi,41
AD Nath & PA Patel,41
Harpreet Singh & Shashank Singh,40
DR Smith & MEK Hussey,40
P Kumar & R Vinay Kumar,40
SP Narine & VR Iyer,40
JM Sharma & RD Chahar,40
JM Bairstow & PK Garg,40
A Mishra & Mohammed Shami,40
AJ Tye & JP Faulkner,40
AJ Finch & AR Patel,40
DJ Hooda & KS Williamson,40
AB de Villiers & KB Arun Karthik,40
GJ Maxwell & KD Karthik,40
RM Patidar & Shahbaz Ahmed,40
MN van Wyk & WP Saha,40
